Series Name,Series Code,Country Name,Country Code,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,Population2016,Population2017,Population2018,Population2019,Population2020
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Afghanistan,AFG,34562.24,34584.63,34171.38,34696.13,33249.92,35383028.00,36296111.00,37171922.00,38041757.00,38928341.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Albania,ALB,486613.60,505580.39,527463.91,541230.13,526341.88,2876101.00,2873457.00,2866376.00,2854191.00,2837743.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Algeria,DZA,456473.25,453047.62,449372.35,444291.18,412297.67,40551398.00,41389174.00,42228415.00,43053054.00,43851043.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,American Samoa,ASM,11553.85,10770.09,11161.00,11028.35,0.00,55739.00,55617.00,55461.00,55312.00,55197.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Andorra,AND,33271.49,33515.85,34043.48,34667.51,30475.64,77295.00,76997.00,77008.00,77146.00,77265.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Angola,AGO,54851.80,52981.36,50246.40,48339.25,44916.91,28842482.00,29816769.00,30809787.00,31825299.00,32866268.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Antigua and Barbuda,ATG,33587.07,34314.70,36373.05,37269.53,31056.29,94520.00,95425.00,96282.00,97115.00,97928.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Argentina,ARG,16207.20,16492.07,15906.58,15420.50,13758.95,43590368.00,44044811.00,44494502.00,44938712.00,45376763.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Armenia,ARM,1608042.16,1723572.30,1808927.58,1942466.19,1791503.76,2936147.00,2944789.00,2951741.00,2957728.00,2963234.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Aruba,ABW,34073.49,34591.35,0.00,0.00,0.00,104865.00,105361.00,105846.00,106310.00,106766.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Australia,AUS,75022.65,75466.61,76508.02,76980.98,75801.57,24190907.00,24601860.00,24982688.00,25365745.00,25687041.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Austria,AUT,40189.03,40868.54,41719.29,42123.45,39182.82,8736668.00,8797566.00,8840521.00,8879920.00,8917205.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Azerbaijan,AZE,2942.07,2917.82,2936.05,2983.51,2830.68,9757812.00,9854033.00,9939771.00,10024283.00,10110116.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,"Bahamas, The",BHS,28366.10,28956.72,29532.33,29596.44,24541.76,377923.00,381749.00,385635.00,389486.00,393248.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bahrain,BHR,8374.62,8334.80,8071.13,7871.97,7150.98,1425793.00,1494077.00,1569440.00,1641164.00,1701583.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bangladesh,BGD,55928.26,59360.28,63357.18,67820.88,68739.21,157977151.00,159685421.00,161376713.00,163046173.00,164689383.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Barbados,BRB,32404.01,32508.94,32273.93,32200.11,26498.85,285798.00,286229.00,286640.00,287021.00,287371.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Belarus,BLR,7949.83,8153.94,8423.82,8601.30,8541.11,9501534.00,9498264.00,9483499.00,9417849.00,9398861.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Belgium,BEL,37239.78,37698.14,38197.89,38670.04,36029.87,11331422.00,11375158.00,11427054.00,11488980.00,11555997.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Belize,BLZ,7348.59,7334.95,7404.53,7394.39,6240.11,368399.00,375775.00,383071.00,390351.00,397621.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Benin,BEN,639957.87,657910.49,683034.66,710377.15,718120.96,10872072.00,11175192.00,11485035.00,11801151.00,12123198.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bermuda,BMU,96562.63,101116.62,100606.53,101078.70,0.00,64554.00,63873.00,63919.00,63913.00,63903.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bhutan,BTN,85627.83,88546.55,90183.33,94027.30,86691.98,736706.00,745563.00,754396.00,763094.00,771612.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bolivia,BOL,4022.39,4130.84,4244.53,4278.34,3889.60,11031822.00,11192853.00,11353140.00,11513102.00,11673029.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bosnia and Herz.,BIH,8708.58,9077.87,9495.60,9832.25,9464.65,3386263.00,3351534.00,3323929.00,3300998.00,3280815.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Botswana,BWA,41569.68,41900.97,42826.16,43171.38,38953.52,2159925.00,2205076.00,2254067.00,2303703.00,2351625.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Brazil,BRA,19291.34,19389.41,19581.16,19708.80,18774.50,206163056.00,207833825.00,209469320.00,211049519.00,212559409.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,British Virgin Islands,VGB,0.00,0.00,0.00,0.00,0.00,29355.00,29567.00,29795.00,30033.00,30237.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Brunei Darussalam,BRN,43203.73,43294.05,42864.37,44077.30,44180.63,419791.00,424481.00,428960.00,433296.00,437483.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Bulgaria,BGR,13016.09,13570.78,14091.83,14715.65,14203.10,7127822.00,7075947.00,7025037.00,6975761.00,6927288.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Burkina Faso,BFA,397508.90,410139.19,425374.72,437009.03,433435.77,18646350.00,19193236.00,19751466.00,20321383.00,20903278.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Burundi,BDI,163213.06,158893.17,156418.34,154393.09,150161.63,10488002.00,10827010.00,11175379.00,11530577.00,11890781.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Cabo Verde,CPV,276572.42,283418.05,292846.81,305971.71,257900.50,531140.00,537499.00,543764.00,549936.00,555988.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Cambodia,KHM,2919388.16,3071748.42,3252348.36,3431774.18,3277770.61,15766290.00,16009413.00,16249795.00,16486542.00,16718971.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Cameroon,CMR,630818.61,636202.18,644977.17,651908.86,640109.03,23926549.00,24566070.00,25216261.00,25876387.00,26545864.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Canada,CAN,55674.40,56682.73,57245.51,57491.78,53796.25,36109487.00,36545295.00,37065178.00,37593384.00,38005238.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Cayman Islands,CYM,64742.92,65942.19,67862.19,69610.79,0.00,62564.00,63382.00,64172.00,64948.00,65720.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Central African Rep.,CAF,150452.55,155267.72,158721.92,160768.58,157952.99,4537683.00,4596023.00,4666375.00,4745179.00,4829764.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Chad,TCD,362023.82,340560.32,338261.81,338971.02,326157.08,14561658.00,15016761.00,15477727.00,15946882.00,16425859.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Channel Islands,CHI,0.00,0.00,0.00,0.00,0.00,166922.00,168666.00,170496.00,172264.00,173859.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Chile,CHL,8018023.68,7998199.01,8180647.61,8160602.10,7623572.81,18209072.00,18470435.00,18729166.00,18952035.00,19116209.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,China,CHN,53387.62,56778.22,60334.93,63696.69,64957.37,1378665000.00,1386395000.00,1392730000.00,1397715000.00,1402112000.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Colombia,COL,17052167.75,17024302.92,17196734.60,17521628.12,16147545.86,48175048.00,48909844.00,49661056.00,50339443.00,50882884.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Comoros,COM,478957.31,486057.08,491599.41,490421.86,503438.96,795597.00,813890.00,832322.00,850891.00,869595.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Dem. Rep. Congo,COD,140245.16,140808.21,144273.63,145875.30,142455.61,78789130.00,81398765.00,84068092.00,86790568.00,89561404.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Congo,COG,949723.43,885138.29,820778.36,801867.51,719724.86,4980996.00,5110701.00,5244363.00,5380504.00,5518092.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Costa Rica,CRI,6730042.65,6938173.68,7010745.50,7094453.30,6710477.67,4899336.00,4949955.00,4999443.00,5047561.00,5094114.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Côte d'Ivoire,CIV,1218614.57,1275388.60,1328911.83,1376190.29,1366038.02,23822726.00,24437475.00,25069226.00,25716554.00,26378275.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Croatia,HRV,84215.40,88163.93,91452.71,94589.99,87061.91,4174349.00,4124531.00,4087843.00,4065253.00,4047200.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Cuba,CUB,4832.77,4918.40,5029.48,5020.61,0.00,11335108.00,11339255.00,11338146.00,11333484.00,11326616.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Curacao,CUW,24857.63,24347.24,23945.27,23409.55,0.00,159664.00,160175.00,159336.00,157441.00,155014.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Cyprus,CYP,22269.85,23200.99,24120.86,24527.75,22959.74,1170189.00,1179685.00,1189262.00,1198574.00,1207361.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Czechia,CZE,448853.68,470801.38,484238.56,493494.77,464670.93,10566332.00,10594438.00,10629928.00,10671870.00,10698896.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Denmark,DNK,367048.15,374985.03,381248.31,390710.27,378924.32,5728010.00,5764980.00,5793636.00,5814422.00,5831404.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Djibouti,DJI,480510.53,498435.20,531989.36,564709.62,559235.59,929117.00,944100.00,958923.00,973557.00,988002.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Dominica,DMA,17063.12,15868.88,16195.93,16713.74,13885.62,71307.00,71460.00,71626.00,71808.00,71991.00
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Dominican Rep.,DOM,214748.47,222303.48,235273.86,244586.95,225858.77,10397738.00,10513111.00,10627147.00,10738957.00,10847904.00
